"","construct","radius.mean","radius.median","radius.getmode","radius.getquant","radius.max","radius.min","radius.st.err","radius.length"
"1","117-1",0.78968253968254,0.805555555555556,0.833333333333333,0.944444444444444,1,0.5,0.0295450654552019,21
"2","117-15",0.594907407407407,0.625,0.833333333333333,0.847222222222222,0.916666666666667,0.138888888888889,0.0408634365754477,36
"3","117-17",0.625,0.722222222222222,0.555555555555556,0.825,0.861111111111111,0.138888888888889,0.0448963040542455,24
"4","117-18",0.654970760233918,0.722222222222222,0.777777777777778,0.777777777777778,0.777777777777778,0.138888888888889,0.0408776159366682,19
"5","117-2",0.664251207729469,0.722222222222222,0.805555555555556,0.861111111111111,0.916666666666667,0.333333333333333,0.0405787951880456,23
"6","117-26",0.730676328502415,0.75,0.805555555555556,0.861111111111111,0.944444444444444,0.222222222222222,0.0216696869018427,46
"7","117-30",0.784188034188034,0.819444444444444,0.833333333333333,0.944444444444444,1.08333333333333,0.333333333333333,0.030982169163063,26
"8","117-33",0.646701388888889,0.694444444444444,0.777777777777778,0.805555555555556,0.833333333333333,0.222222222222222,0.0291505111587073,32
"9","117-4",0.694444444444444,0.75,0.805555555555556,0.844444444444445,0.916666666666667,0.166666666666667,0.0357996036447025,27
"10","117-42",0.686692506459948,0.722222222222222,0.694444444444444,0.833333333333333,0.916666666666667,0.305555555555556,0.0240220587430025,43
"11","117-5",0.654761904761905,0.666666666666667,0.75,0.777777777777778,0.861111111111111,0.25,0.0310015211605643,21
"12","117-58",0.679292929292929,0.722222222222222,0.722222222222222,0.833333333333333,0.861111111111111,0.194444444444444,0.027141570305012,33
"13","117-59",0.737037037037037,0.777777777777778,0.833333333333333,0.861111111111111,1.05555555555556,0.222222222222222,0.0237645210955452,45
"14","117-6",0.776936026936027,0.833333333333333,0.805555555555556,0.972222222222222,1.02777777777778,0.194444444444444,0.0369148773581615,33
"15","117-61",0.720486111111111,0.777777777777778,0.833333333333333,0.861111111111111,0.944444444444444,0.305555555555556,0.0314531306275606,32
"16","117-64",0.64426523297491,0.722222222222222,0.611111111111111,0.805555555555556,0.888888888888889,0.194444444444444,0.0350280878278503,31
"17","117-68",0.727564102564103,0.777777777777778,0.805555555555556,0.833333333333333,0.916666666666667,0.25,0.0283286920435697,26
"18","117-69",0.650997150997151,0.666666666666667,0.722222222222222,0.722222222222222,0.777777777777778,0.416666666666667,0.0131393518316048,39
"19","117-73",0.676666666666667,0.694444444444444,0.75,0.75,0.777777777777778,0.416666666666667,0.0211476292340825,25
"20","117-75",0.616430260047281,0.638888888888889,0.694444444444444,0.694444444444444,0.833333333333333,0.277777777777778,0.0153392273269463,47
"21","117-76",0.594827586206897,0.638888888888889,0.666666666666667,0.722222222222222,0.777777777777778,0.194444444444444,0.0277954665005344,29
"22","117-78",0.626157407407407,0.611111111111111,0.611111111111111,0.777777777777778,0.805555555555556,0.361111111111111,0.0226791765515129,24
"23","117-82",0.611757105943152,0.666666666666667,0.666666666666667,0.75,0.805555555555556,0.194444444444444,0.0242550363038564,43
"24","117-84",0.613562091503268,0.652777777777778,0.694444444444444,0.75,0.805555555555556,0.222222222222222,0.023815426360169,34
"25","117-86",0.621082621082621,0.666666666666667,0.666666666666667,0.755555555555556,0.833333333333333,0.194444444444444,0.0222280127100988,39
"26","117-89",0.498737373737374,0.472222222222222,0.472222222222222,0.611111111111111,0.666666666666667,0.305555555555556,0.0204726491895025,22
"27","117-9",0.686728395061728,0.763888888888889,0.805555555555556,0.902777777777778,0.972222222222222,0.194444444444444,0.0353901560895015,36
"28","117-90",0.650462962962963,0.722222222222222,0.75,0.777777777777778,0.805555555555556,0.194444444444444,0.0323750413485455,24
"29","117-95",0.654970760233918,0.666666666666667,0.666666666666667,0.75,0.777777777777778,0.361111111111111,0.0223109612909544,19
