"","construct","radius.mean","radius.median","radius.getmode","radius.getquant","radius.max","radius.min","radius.st.err","radius.length"
"1","G72_M-1",0.470394736842105,0.493421052631579,0.493421052631579,0.628289473684211,0.674342105263158,0.213815789473684,0.0217468501836897,35
"2","G72_N-1",0.588731443994602,0.625,0.657894736842105,0.759868421052632,0.805921052631579,0.0822368421052632,0.0283088570006974,39
"3","G72_N-2",0.438885041551247,0.518092105263158,0.542763157894737,0.592105263157895,0.625,0.0986842105263158,0.0252671191738546,38
