Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 0,2398.46,1597.31,0,0,2,4484,40,30,127,17.723,12.4752,5.7471,15.6246,8.90186,3.69168, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,1792.08,1250.68,1,0,2,2477,31,42,75,148.462,126.988,81.1478,15.3786,11.9653,7.17547, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,1761,1215.5,1,0,2,1953,27,40,77,157.627,133.812,85.0015,18.5023,14.5559,9.10962, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,1993.88,1176.68,1,0,2,2150,28,42,78,129.848,110.546,68.62,10.9615,7.33312,4.57202, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,2037.3,1175.37,1,0,2,1541,23,42,76,124.372,106.833,66.5607,6.68022,5.22799,3.77113, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,2033.95,777.015,1,0,2,3126,32,42,80,122.765,104.696,63.5563,15.0765,10.4359,5.92586, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,2029,724,1,0,2,1090,20,40,82,126.994,106.986,65.1771,12.9818,8.80301,5.15114, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,1604.27,1745.79,1,0,1,1175,20,40,81,108.012,90.6383,55.6979,11.0167,8.15799,5.19622, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,2035.64,1725.84,1,0,1,2456,29,38,86,106.753,87.6792,53.0432,12.3244,9.24718,5.37844, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,1575.53,1605.88,1,0,1,1901,25,40,79,112.074,95.3298,59.4145,11.948,8.15744,5.40597, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,1174.9,1578.7,1,0,1,465,13,42,79,96.9613,83.0366,51.3656,7.41358,5.59883,4.12873, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,2103.5,1559.5,1,0,1,2033,26,40,82,105.003,88.3064,54.1953,9.80121,7.25834,4.5535, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,1009.5,1540,1,0,1,505,13,42,81,91.4376,78.2931,47.3366,5.85559,3.96736,3.39751, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,2035.42,1538.4,1,0,1,2533,30,42,82,111.42,93.6755,57.1255,12.5578,9.00575,5.36564, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,1502,1437.5,1,0,1,1573,23,42,79,121.043,102.875,64.4723,13.6756,9.24673,5.94985, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,1692.7,1425.6,1,0,1,2128,26,40,80,134.313,112.586,70.32,16.2571,11.3035,6.6096, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,1922.5,1421,1,0,1,2277,28,40,81,129.086,108.621,67.3114,13.7978,9.6116,5.81955, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,1873.3,1362.23,1,0,1,3238,35,40,79,133.086,112.477,70.4873,15.7954,11.3966,6.38749, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,1114.73,1344.12,1,0,1,779,16,44,77,98.8241,85.6149,53.0693,8.44452,5.68719,3.96411, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,2404,1338.5,1,0,1,770,16,40,110,97.9286,79.1506,38.9506,7.17884,4.49146,3.60672, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,1230.51,1302.09,1,0,1,845,17,42,77,110.296,95.2911,58.9385,11.0511,7.64398,4.91731, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,2237.58,1293.99,1,0,1,2946,32,42,84,101.048,85.5282,51.0258,12.1961,8.50583,4.81897, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,1508.7,1203.81,1,0,1,1737,25,42,74,144.342,124.081,79.4375,17.2882,12.2408,7.35278, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,2204.46,1102.27,1,0,1,2458,29,42,85,110.252,93.0313,55.2543,13.1093,9.20483,5.21552, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,2403.5,1103.5,1,0,1,2516,31,42,109,101.928,83.0696,41.4082,12.2515,8.38593,4.84485, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,1586,1061.5,1,0,1,1577,23,40,79,173.226,149.466,98.702,17.7502,13.3323,9.71758, "2018-03-14 [11:41:27 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_1Mar18\G123-1_CTA_L.JPG", 1,2027.64,1033.31,1,0,1,3660,36,40,82,135.632,115.021,70.3454,16.9578,12.0858,6.68253, "2018-03-14 [11:41:27 PM]: no comment"
