"","plq","radius.mean","radius.median","radius.getmode","radius.getquant","radius.max","radius.min","radius.st.err","radius.length"
"1","G119M-1",0.637362637362637,0.675675675675676,0.675675675675676,0.837837837837838,0.918918918918919,0.162162162162162,0.0199224509036339,91
"2","G119D-1",0.158004571201431,0.144092219020173,0.144092219020173,0.178674351585014,0.230547550432277,0.144092219020173,0.00419931558545422,29
"3","G119D-2",0.159530671058049,0.144092219020173,0.144092219020173,0.201729106628242,0.230547550432277,0.144092219020173,0.00456433878676069,28
