plq,radius.mean,radius.median,radius.getmode,radius.getquant,radius.max,radius.min,radius.st.err,radius.length
NA,NA,NA,NA,NA,NA,NA,NA,NA
106-107,0.883179170948955,1.00719424460432,1.07913669064748,1.09352517985611,1.15107913669065,0.287769784172662,0.0421766117245508,35
106-108,0.796781929295273,0.839328537170264,1.03117505995204,1.03117505995204,1.15107913669065,0.215827338129496,0.0463047618874516,31
106-12,0.722905546530518,0.767386091127098,0.935251798561151,0.980815347721822,1.03117505995204,0.215827338129496,0.0280426837371113,62
106-42,0.806191410507957,0.911270983213429,0.935251798561151,1.09352517985611,1.19904076738609,0.239808153477218,0.0377839451255237,55
106-48,0.875554875248737,0.935251798561151,1.00719424460432,1.07913669064748,1.15107913669065,0.26378896882494,0.0324868766360153,47
106-50,0.943245403677058,1.00719424460432,1.00719424460432,1.10071942446043,1.15107913669065,0.26378896882494,0.0289254503812725,42
106-51,0.735713316139541,0.743405275779376,0.623501199040767,1.00239808153477,1.12709832134293,0.26378896882494,0.0284814551552911,53
106-53,0.849683889252234,0.887290167865707,1.00719424460432,1.00719424460432,1.03117505995204,0.239808153477218,0.0288103122095959,44
106-59,0.77472715704987,0.839328537170264,0.79136690647482,1.00719424460432,1.12709832134293,0.239808153477218,0.0332455951238075,49
106-77,0.819184652278177,0.839328537170264,0.815347721822542,0.911270983213429,0.935251798561151,0.52757793764988,0.0194663570035849,25
106-79,0.886028019689512,0.959232613908873,0.959232613908873,1.07913669064748,1.15107913669065,0.287769784172662,0.033610490147356,38
106-81,0.801154994371849,0.839328537170264,0.959232613908873,0.988009592326139,1.07913669064748,0.239808153477218,0.0279010585815017,49
106-89,0.786570743405276,0.815347721822542,0.887290167865707,0.916067146282974,1.03117505995204,0.239808153477218,0.0342514552927715,25
106-90,0.913795279565821,0.995203836930456,0.983213429256595,1.07913669064748,1.12709832134293,0.215827338129496,0.0380063133185587,38
106-91,0.699297704693388,0.755395683453237,0.815347721822542,0.863309352517986,1.1031175059952,0.239808153477218,0.026132679051773,56
106-1,0.904529816513761,0.997706422018349,1.03211009174312,1.07798165137615,1.12385321100917,0.160550458715596,0.0394168777739624,32
106-14,0.622301672962763,0.619266055045872,0.573394495412844,0.825688073394495,1.05504587155963,0.137614678899083,0.0220471694518524,68
106-15,0.603514977340555,0.665137614678899,0.825688073394495,0.825688073394495,0.91743119266055,0.137614678899083,0.0245502052713613,83
