"","plq","radius.mean","radius.median","radius.getmode","radius.getquant","radius.max","radius.min","radius.st.err","radius.length"
"1","G4new-20",0.647567567567568,0.675675675675676,0.756756756756757,0.772972972972973,0.864864864864865,0.297297297297297,0.0276715931673579,25
"2","G4new-22",0.505630630630631,0.540540540540541,0.594594594594595,0.648648648648649,0.702702702702703,0.162162162162162,0.0188715955225333,48
"3","G4new-25",0.691745799853908,0.72972972972973,0.72972972972973,0.837837837837838,0.918918918918919,0.162162162162162,0.0264208347134667,37
"4","G4new-8",0.816743572841134,0.864864864864865,0.864864864864865,0.972972972972973,1.02702702702703,0.405405405405405,0.0202760307157038,41
"5","G4new-16",0.693984962406015,0.742857142857143,0.8,0.865714285714286,0.914285714285714,0.142857142857143,0.0309309760921343,38
"6","G4new-17",0.764648910411622,0.8,0.714285714285714,0.914285714285714,1.08571428571429,0.171428571428571,0.0216820221352956,59
"7","G4new-31",0.536507936507936,0.571428571428571,0.628571428571429,0.657142857142857,0.714285714285714,0.171428571428571,0.0184514693563711,45
"8","G4new-38",0.764285714285714,0.814285714285714,0.914285714285714,0.931428571428571,1,0.257142857142857,0.0346087390728671,28
"9","G4new-5",0.779802955665025,0.828571428571429,0.828571428571429,1.06571428571429,1.54285714285714,0.142857142857143,0.0388610813880477,58
"10","G4new-61",0.716862846772103,0.763157894736842,0.857142857142857,0.885714285714286,1,0.142857142857143,0.013938773259405,145
"11","G4new-64",0.595383620341176,0.628571428571429,0.714285714285714,0.771428571428571,0.885714285714286,0.131578947368421,0.0163414003232015,93
"12","G4new-67",0.767064983888292,0.789473684210526,0.763157894736842,0.969022556390978,1.05714285714286,0.157894736842105,0.0167566793181449,112
"13","G4new-35",0.632228719948018,0.684210526315789,0.736842105263158,0.763157894736842,0.947368421052632,0.131578947368421,0.0170682066533949,81
"14","G4new-39",0.612105263157895,0.631578947368421,0.578947368421053,0.763157894736842,0.842105263157895,0.131578947368421,0.019989397381822,50
"15","G4new-42",0.476884779516358,0.526315789473684,0.552631578947368,0.631578947368421,0.710526315789474,0.131578947368421,0.0171784054876645,74
"16","G4new-58",0.739035087719298,0.763157894736842,0.684210526315789,0.902631578947368,1.02631578947368,0.263157894736842,0.0227204439793483,48
"17","G4new-74",0.815252416756176,0.842105263157895,0.921052631578947,0.973684210526316,1.07894736842105,0.210526315789474,0.0248600416939632,49
"18","G4new-94",0.747368421052632,0.789473684210526,0.736842105263158,0.936842105263158,1.05263157894737,0.236842105263158,0.0231036207720795,55
"19","G4new-23",0.745073891625616,0.857142857142857,0.928571428571429,0.952380952380952,1.07142857142857,0.119047619047619,0.0346951184379568,58
"20","G4new-55",0.777628032345013,0.833333333333333,0.904761904761905,0.952380952380952,1.04761904761905,0.214285714285714,0.0260136671992969,53
